Month,Year,Region,Population,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,Violence,Smallpox
June,1911,Indiana (statewide),2700876,11,13,36,48,116,1,2,4,11,142,195,1
June,1911,Northern counties,927229,8,3,8,11,20,0,0,1,3,53,68,0
June,1911,Central counties,1114087,2,4,10,23,20,0,0,0,5,57,83,0
June,1911,Southern counties,659560,1,6,18,14,76,1,2,3,3,32,44,1
June,1911,"Urban, population over 5,000",1147277,8,3,15,26,73,1,0,1,6,66,103,0
June,1911,"Rural, population under 5,000",1553599,3,10,21,22,43,0,2,3,5,76,92,1
June,1911,"Cities, class 1",233650,1,0,0,9,7,0,0,0,1,13,19,0
June,1911,"Cities, class 2",245421,4,1,6,5,28,1,0,0,1,18,27,0
June,1911,"Cities, class 3",130440,1,0,3,3,5,0,0,0,1,6,16,0
June,1911,"Cities, class 4",209556,2,0,4,2,12,0,0,0,2,10,19,0
June,1911,"Cities, class 5",328210,0,2,2,7,21,0,0,1,1,19,22,0
July,1911,Indiana (statewide),2700876,4,9,42,56,326,1,2,1,4,160,296,0
July,1911,Northern counties,927229,2,5,5,23,87,0,0,0,1,39,121,0
July,1911,Central counties,1114087,1,2,14,20,134,0,1,1,2,77,100,0
July,1911,Southern counties,659560,1,2,23,13,105,1,1,0,1,44,75,0
July,1911,"Urban, population over 5,000",1147277,2,5,25,31,199,0,1,0,2,77,132,0
July,1911,"Rural, population under 5,000",1553599,2,4,17,25,127,1,1,1,2,83,164,0
July,1911,"Cities, class 1",233650,0,0,3,6,37,0,0,0,0,27,25,0
July,1911,"Cities, class 2",245421,1,0,7,8,52,0,0,0,0,14,42,0
July,1911,"Cities, class 3",130440,0,0,7,5,17,0,0,0,0,6,13,0
July,1911,"Cities, class 4",209556,1,3,2,7,47,0,0,0,1,10,27,0
July,1911,"Cities, class 5",328210,0,2,6,5,46,0,1,0,1,20,25,0
August,1911,Indiana (statewide),2700876,4,3,26,62,260,0,7,3,9,144,261,0
August,1911,Northern counties,927229,1,2,7,26,95,0,3,1,5,53,67,0
August,1911,Central counties,1114087,1,0,10,25,100,0,4,1,3,57,133,0
August,1911,Southern counties,659560,2,1,9,11,65,0,0,1,1,34,61,0
August,1911,"Urban, population over 5,000",1147277,1,1,17,37,173,0,3,2,4,65,133,0
August,1911,"Rural, population under 5,000",1553599,3,2,9,25,87,0,4,1,5,79,128,0
August,1911,"Cities, class 1",233650,0,0,3,11,31,0,0,0,0,8,33,0
August,1911,"Cities, class 2",245421,0,0,0,10,24,0,0,0,2,16,25,0
August,1911,"Cities, class 3",130440,0,0,5,2,18,0,0,1,1,12,21,0
August,1911,"Cities, class 4",209556,1,1,5,8,52,0,0,1,0,13,16,0
August,1911,"Cities, class 5",328210,0,0,4,6,48,0,3,0,1,16,38,0
September,1911,Indiana (statewide),2700876,10,2,9,76,219,0,6,3,14,153,202,0
September,1911,Northern counties,927229,5,1,2,22,110,0,1,2,9,49,66,0
September,1911,Central counties,1114087,2,0,5,35,61,0,4,1,4,66,90,0
September,1911,Southern counties,659560,3,1,2,19,48,0,1,0,1,38,46,0
September,1911,"Urban, population over 5,000",1147277,8,1,5,37,125,0,1,0,9,71,108,0
September,1911,"Rural, population under 5,000",1553599,2,1,4,39,94,0,5,3,5,82,94,0
September,1911,"Cities, class 1",233650,1,0,0,11,22,0,0,0,1,21,18,0
September,1911,"Cities, class 2",245421,3,0,2,17,26,0,0,0,4,13,16,0
September,1911,"Cities, class 3",130440,0,0,1,0,4,0,0,0,1,12,18,0
September,1911,"Cities, class 4",209556,4,1,1,5,47,0,1,0,3,6,17,0
September,1911,"Cities, class 5",328210,0,0,1,4,26,0,0,0,0,19,39,0
October,1911,Indiana (statewide),2700876,7,1,4,113,191,1,16,7,19,156,205,0
October,1911,Northern counties,927229,1,1,1,47,61,0,3,1,8,56,72,0
October,1911,Central counties,1114087,2,0,1,45,74,1,6,4,6,70,87,0
October,1911,Southern counties,659560,4,0,2,21,56,0,7,2,5,30,46,0
October,1911,"Urban, population over 5,000",1147277,1,1,1,68,94,0,7,3,11,74,115,0
October,1911,"Rural, population under 5,000",1553599,6,0,3,45,97,1,9,4,8,82,90,0
October,1911,"Cities, class 1",233650,0,0,1,16,14,0,1,1,3,15,19,0
October,1911,"Cities, class 2",245421,0,0,0,16,25,0,1,1,1,20,30,0
October,1911,"Cities, class 3",130440,0,0,0,7,5,0,1,0,1,9,15,0
October,1911,"Cities, class 4",209556,1,1,0,19,21,0,1,0,4,10,27,0
October,1911,"Cities, class 5",328210,0,0,0,10,29,0,3,1,2,20,24,0
November,1911,Indiana (statewide),2700876,12,0,21,198,66,0,5,26,14,156,196,0
November,1911,Northern counties,927229,3,0,7,48,30,0,0,9,4,44,63,0
November,1911,Central counties,1114087,4,0,7,81,19,0,3,11,7,76,90,0
November,1911,Southern counties,659560,5,0,7,69,17,0,2,6,3,36,40,0
November,1911,"Urban, population over 5,000",1147277,6,0,7,100,40,0,0,13,6,78,113,0
November,1911,"Rural, population under 5,000",1553599,6,0,14,98,26,0,5,13,8,78,83,0
November,1911,"Cities, class 1",233650,0,0,0,15,3,0,0,1,1,20,16,0
November,1911,"Cities, class 2",245421,0,0,2,23,8,0,0,5,0,20,24,0
November,1911,"Cities, class 3",130440,0,0,1,7,2,0,0,2,4,4,21,0
November,1911,"Cities, class 4",209556,2,0,1,20,17,0,0,2,0,8,26,0
November,1911,"Cities, class 5",328210,4,0,3,35,10,0,0,3,1,26,26,0
December,1911,Indiana (statewide),2700876,11,1,10,275,39,2,2,38,15,164,190,0
December,1911,Northern counties,927229,4,0,4,94,20,0,1,9,5,55,59,0
December,1911,Central counties,1114087,3,1,2,87,12,0,0,16,9,73,89,0
December,1911,Southern counties,659560,4,0,4,94,7,2,1,13,1,36,42,0
December,1911,"Urban, population over 5,000",1147277,4,1,5,129,24,1,1,15,8,88,110,0
December,1911,"Rural, population under 5,000",1553599,7,0,5,146,15,1,1,23,7,76,80,0
December,1911,"Cities, class 1",233650,0,1,0,21,4,0,0,4,3,23,30,0
December,1911,"Cities, class 2",245421,0,0,3,28,2,1,0,3,1,9,20,0
December,1911,"Cities, class 3",130440,0,0,0,13,6,0,0,1,1,14,7,0
December,1911,"Cities, class 4",209556,1,0,1,27,11,0,1,1,2,20,23,0
December,1911,"Cities, class 5",328210,3,0,1,40,1,0,0,6,1,22,30,0
