Month,Year,Region,Population,Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrheal Diseases, Under 5 Years",Cerebro-Spinal Fever,Influenza,Puerperal Septicemia,Cancer,Violence,Smallpox
October,1910,Central counties,1143900,1,4,1,9,65,68,1,2,3,62,87,0
October,1910,Southern counties,722593,3,2,1,11,31,53,3,3,3,38,37,0
October,1910,"Urban, population over 5,000",1149608,3,7,0,9,92,82,3,5,9,75,103,0
October,1910,"Rural, population under 5,000",1670927,2,4,3,18,51,107,6,3,5,73,179,0
October,1910,"Cities, class 1",480717,0,3,0,3,42,29,2,1,3,32,54,0
October,1910,"Cities, class 2",88306,0,0,0,0,5,5,0,1,0,4,2,0
October,1910,"Cities, class 3",281889,2,4,0,4,25,18,1,2,3,13,27,0
October,1910,"Cities, class 4",151568,1,0,0,2,14,17,0,0,2,11,15,0
October,1910,"Cities, class 5",147128,0,0,0,0,6,13,0,1,1,15,5,0
November,1910,Indiana (statewide),2820535,5,19,9,26,296,60,1,18,12,145,184,0
November,1910,Northern counties,954042,0,13,7,8,89,23,0,5,3,49,58,0
November,1910,Central counties,1143900,0,3,0,8,131,22,0,6,6,62,76,0
November,1910,Southern counties,722593,5,3,2,7,76,15,0,7,3,34,50,0
November,1910,"Urban, population over 5,000",1149608,1,7,4,8,154,34,1,5,7,77,108,0
November,1910,"Rural, population under 5,000",1670927,4,12,5,18,142,26,0,13,5,68,76,0
November,1910,"Cities, class 1",480717,0,0,0,2,58,15,1,4,2,31,49,0
November,1910,"Cities, class 2",88306,0,0,0,0,11,1,0,0,1,5,8,0
November,1910,"Cities, class 3",281889,1,6,2,1,41,5,0,1,1,19,25,0
November,1910,"Cities, class 4",151568,0,1,0,3,27,9,0,0,1,9,13,0
November,1910,"Cities, class 5",147128,0,0,2,2,17,4,0,0,2,13,13,0
