Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
May,1915,"Cities, population 5,000 to 10,000",325859,43,10,3,1,0,6,1,18,4,0,0,5,1,28,27,0
June,1915,Indiana (statewide),2824237,258,50,17,11,1,8,9,88,45,3,2,10,9,192,189,0
June,1915,Northern counties,982219,76,12,6,1,0,6,3,38,18,0,0,3,1,61,77,0
June,1915,Central counties,1165270,116,21,5,9,1,0,6,35,18,1,2,7,4,85,75,0
June,1915,Southern counties,676748,66,17,6,1,0,2,0,15,9,2,0,0,4,46,37,0
June,1915,"Urban, population over 5,000",1272157,139,23,10,4,1,6,3,58,27,1,2,3,7,101,105,0
June,1915,"Rural, population under 5,000",1552080,119,27,7,7,0,2,6,30,18,2,0,7,2,91,84,0
June,1915,"Cities, population over 100,000",259442,38,6,1,1,1,0,1,9,5,0,0,0,2,19,18,0
June,1915,"Cities, population 45,000 to 100,000",273921,25,8,1,2,0,2,0,15,8,0,0,0,3,20,29,0
June,1915,"Cities, population 20,000 to 45,000",274558,29,3,4,0,0,4,0,15,9,0,0,0,0,18,21,0
June,1915,"Cities, population 10,000 to 20,000",138377,19,1,4,1,0,0,0,5,3,0,0,1,0,13,15,0
June,1915,"Cities, population 5,000 to 10,000",325859,28,5,0,0,0,0,2,14,2,1,2,2,2,31,22,0
July,1915,Indiana (statewide),2824237,265,39,17,17,1,3,16,62,138,3,3,4,15,181,250,0
July,1915,Northern counties,982219,63,10,5,3,0,2,5,25,43,0,1,1,6,69,91,0
July,1915,Central counties,1165270,124,19,6,10,1,1,10,23,38,2,1,1,8,71,107,0
July,1915,Southern counties,676748,78,10,6,4,0,0,1,14,57,1,1,2,1,41,52,0
July,1915,"Urban, population over 5,000",1274523,130,20,7,8,0,3,11,39,87,1,2,4,7,99,115,0
July,1915,"Rural, population under 5,000",1549714,135,19,10,9,1,0,5,23,51,2,1,0,8,82,135,0
July,1915,"Cities, population over 100,000",259442,29,6,2,2,0,0,2,5,14,1,1,1,1,16,30,0
July,1915,"Cities, population 45,000 to 100,000",273921,33,3,2,1,0,3,3,11,19,0,0,1,2,21,16,0
July,1915,"Cities, population 20,000 to 45,000",274558,35,4,1,1,0,0,2,12,34,0,1,0,2,19,29,0
July,1915,"Cities, population 10,000 to 20,000",138377,6,2,1,1,0,0,3,2,8,0,0,1,0,8,11,0
July,1915,"Cities, population 5,000 to 10,000",328225,27,5,1,3,0,0,1,9,12,0,0,1,2,35,29,0
August,1915,Indiana (statewide),2824237,238,49,46,8,1,1,22,42,185,2,1,1,15,189,221,2
August,1915,Northern counties,982219,65,13,13,1,0,1,10,13,81,1,1,0,3,68,93,1
August,1915,Central counties,1165270,105,20,18,4,1,0,11,17,51,0,0,1,8,89,96,1
August,1915,Southern counties,676748,68,16,15,3,0,0,1,12,53,1,0,0,4,32,32,0
August,1915,"Urban, population over 5,000",1274523,119,26,20,3,0,1,17,22,118,1,1,0,12,98,126,1
August,1915,"Rural, population under 5,000",1549714,119,23,26,5,1,0,5,20,67,1,0,1,3,91,95,1
August,1915,"Cities, population over 100,000",259442,34,5,5,0,0,0,3,5,8,0,0,0,2,23,21,0
August,1915,"Cities, population 45,000 to 100,000",273921,24,8,3,2,0,0,1,8,15,0,1,0,4,20,27,0
August,1915,"Cities, population 20,000 to 45,000",274558,20,4,3,0,0,1,5,6,59,0,0,0,2,19,35,0
August,1915,"Cities, population 10,000 to 20,000",138377,9,1,4,1,0,0,3,0,9,1,0,0,1,9,14,1
August,1915,"Cities, population 5,000 to 10,000",328225,32,8,5,0,0,0,5,3,27,0,0,0,3,27,29,0
September,1915,Indiana (statewide),2824237,215,53,58,24,3,0,11,76,216,4,2,2,13,188,240,0
September,1915,Northern counties,982219,69,13,8,5,1,0,5,32,88,1,0,0,4,70,93,0
September,1915,Central counties,1165270,98,27,19,11,1,0,4,31,66,2,1,0,5,86,103,0
September,1915,Southern counties,676748,48,13,31,8,1,0,2,13,62,1,1,2,4,32,44,0
September,1915,"Urban, population over 5,000",1274523,110,32,26,14,1,0,6,38,129,4,0,1,10,92,130,0
September,1915,"Rural, population under 5,000",1549714,105,21,32,10,2,0,5,38,87,0,2,1,3,96,110,0
September,1915,"Cities, population over 100,000",259442,23,6,4,2,0,0,0,11,18,1,0,0,2,15,21,0
September,1915,"Cities, population 45,000 to 100,000",273921,29,4,8,4,1,0,0,7,23,1,0,0,4,19,28,0
September,1915,"Cities, population 20,000 to 45,000",274558,19,7,2,2,0,0,3,12,51,1,0,0,1,23,31,0
September,1915,"Cities, population 10,000 to 20,000",138377,9,3,5,2,0,0,2,4,6,1,0,1,2,8,12,0
September,1915,"Cities, population 5,000 to 10,000",328225,30,12,7,4,0,0,1,4,31,0,0,0,1,27,38,0
October,1915,Indiana (statewide),2824237,242,29,55,43,7,2,13,104,152,4,1,7,11,190,177,0
October,1915,Northern counties,982219,73,6,17,12,1,1,7,36,53,1,1,2,3,74,76,0
October,1915,Central counties,1165270,111,18,14,14,5,1,5,53,62,3,0,4,4,82,64,0
October,1915,Southern counties,676748,58,5,24,17,1,0,1,15,37,0,0,1,4,34,37,0
October,1915,"Urban, population over 5,000",1274523,125,17,20,26,4,1,8,70,79,2,1,4,8,97,98,0
October,1915,"Rural, population under 5,000",1549714,117,12,35,17,3,1,5,34,73,2,0,3,3,93,79,0
October,1915,"Cities, population over 100,000",259442,47,5,1,3,3,0,2,22,3,2,0,0,2,19,18,0
October,1915,"Cities, population 45,000 to 100,000",273921,22,5,3,5,0,1,2,14,14,0,0,0,2,18,24,0
October,1915,"Cities, population 20,000 to 45,000",274558,20,1,8,5,0,0,2,17,26,0,1,1,2,22,25,0
October,1915,"Cities, population 10,000 to 20,000",138377,7,0,1,4,1,0,0,4,13,0,0,0,0,9,9,0
October,1915,"Cities, population 5,000 to 10,000",328225,29,6,7,9,0,0,2,13,23,0,0,3,2,29,22,0
November,1915,Indiana (statewide),2824237,241,35,57,43,10,6,8,204,72,3,1,14,18,188,191,0
November,1915,Northern counties,982219,70,13,16,11,1,6,1,64,28,0,0,4,6,60,73,0
November,1915,Central counties,1165270,101,11,17,17,8,0,5,88,21,1,0,8,6,85,80,0
November,1915,Southern counties,676748,70,11,24,15,1,0,2,52,23,2,1,2,6,43,38,0
November,1915,"Urban, population over 5,000",1274523,128,16,23,22,7,4,4,119,53,1,1,6,9,90,108,0
November,1915,"Rural, population under 5,000",1549714,113,19,34,21,3,2,4,85,19,2,0,8,9,98,83,0
November,1915,"Cities, population over 100,000",259442,36,4,5,3,2,0,2,31,6,1,0,1,2,29,21,0
November,1915,"Cities, population 45,000 to 100,000",273921,29,0,6,3,1,0,0,39,12,0,0,0,0,13,20,0
November,1915,"Cities, population 20,000 to 45,000",274558,21,5,5,6,1,3,1,22,15,0,0,3,3,22,27,0
November,1915,"Cities, population 10,000 to 20,000",138377,12,1,2,4,1,0,0,9,10,0,0,1,2,6,15,0
November,1915,"Cities, population 5,000 to 10,000",328225,30,6,5,6,2,1,1,18,10,0,1,1,2,20,25,0
December,1915,Indiana (statewide),2824237,273,45,36,45,13,10,9,350,54,5,1,59,14,165,220,1
December,1915,Northern counties,982219,67,12,9,15,5,9,2,94,28,3,0,15,4,62,80,0
December,1915,Central counties,1165270,131,25,16,15,5,1,5,171,16,2,1,29,5,66,94,0
December,1915,Southern counties,676748,75,8,11,15,3,0,2,85,10,0,0,15,5,37,46,1
December,1915,"Urban, population over 5,000",1274523,135,22,17,20,6,7,7,197,40,3,1,25,6,72,123,0
December,1915,"Rural, population under 5,000",1549714,138,23,19,25,7,3,2,153,14,2,0,34,8,93,97,1
December,1915,"Cities, population over 100,000",259442,43,2,7,1,0,0,2,57,4,1,0,6,1,15,22,0
December,1915,"Cities, population 45,000 to 100,000",273921,22,3,2,6,0,1,1,42,7,0,0,3,2,12,21,0
December,1915,"Cities, population 20,000 to 45,000",274558,28,3,5,6,2,6,0,45,17,1,1,6,2,22,34,0
December,1915,"Cities, population 10,000 to 20,000",138377,13,4,0,3,2,0,2,14,2,0,0,5,0,6,11,0
December,1915,"Cities, population 5,000 to 10,000",328225,29,10,3,4,2,0,2,39,10,1,0,5,1,17,35,0
