Month,Year,Region,Population,Births,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox,Syphilis
May,1924,Indiana (statewide),2930544,5218,3107,198,46,9,7,14,15,31,239,25,44,15,222,244,1,24
May,1924,Northern counties,1055563,1977,1130,63,16,4,5,9,8,5,109,6,20,7,69,100,1,10
May,1924,Central counties,1217831,2072,1347,90,21,3,0,5,3,16,85,14,18,4,113,93,0,7
May,1924,Southern counties,657150,1169,630,45,9,2,2,0,4,10,45,5,6,4,40,51,0,7
May,1924,"Rural, population under 5,000",1593230,2525,1540,105,20,4,2,5,10,21,90,9,30,7,109,117,1,11
May,1924,"Urban, population over 5,000",1337314,2693,1567,93,26,25,5,9,5,10,149,16,14,8,113,127,0,13
June,1924,Indiana (statewide),2930544,5244,2764,182,35,12,10,4,7,15,134,37,21,10,242,258,1,20
June,1924,Northern counties,1055563,2075,1037,53,16,4,7,3,4,2,59,21,8,3,99,99,1,4
June,1924,Central counties,1217831,2083,1177,81,15,6,2,1,2,12,47,11,8,6,99,110,0,12
June,1924,Southern counties,657150,1086,550,48,4,2,1,0,1,1,28,5,5,1,44,49,0,4
June,1924,"Rural, population under 5,000",1593230,2574,1387,105,15,8,7,1,3,11,67,9,8,0,116,126,1,7
June,1924,"Urban, population over 5,000",1337314,2670,1377,77,20,4,3,3,4,4,67,28,13,10,126,132,0,13
July,1924,Indiana (statewide),2930544,5524,2574,182,21,15,7,0,0,10,69,65,6,9,243,274,0,11
July,1924,Northern counties,1055563,2089,871,48,6,5,2,0,0,4,31,14,4,3,78,116,0,2
July,1924,Central counties,1217831,2265,1148,87,12,6,4,0,0,3,27,26,0,4,113,118,0,7
July,1924,Southern counties,657150,1170,555,47,3,4,1,0,0,3,11,25,2,2,52,40,0,2
July,1924,"Rural, population under 5,000",1593230,2688,1340,96,8,9,2,0,0,3,28,24,3,0,133,112,0,6
July,1924,"Urban, population over 5,000",1337314,2836,1234,86,13,5,5,0,0,7,41,41,3,9,110,162,0,5
August,1924,Indiana (statewide),2930544,5780,2764,170,28,26,14,4,2,14,66,157,8,6,267,270,0,26
August,1924,Northern counties,1055563,2199,912,61,9,7,5,3,1,6,19,27,1,0,95,115,0,14
August,1924,Central counties,1217831,2232,1223,77,10,9,6,1,1,5,34,69,5,3,101,105,0,10
August,1924,Southern counties,657150,1349,629,32,9,10,3,0,0,3,13,61,2,3,71,50,0,2
August,1924,"Rural, population under 5,000",1593230,2841,1363,78,10,18,6,0,1,6,24,61,2,3,129,132,0,11
August,1924,"Urban, population over 5,000",1337314,2939,1401,92,18,8,8,4,1,8,42,96,6,3,138,138,0,15
September,1924,Indiana (statewide),2930544,5338,2717,144,23,33,18,4,2,17,117,161,19,13,236,221,0,23
September,1924,Northern counties,1055563,2073,925,51,10,9,8,3,1,5,52,33,10,1,91,83,0,10
September,1924,Central counties,1217831,2093,1249,62,5,16,6,0,1,8,50,77,9,6,104,98,0,9
September,1924,Southern counties,657150,1172,543,31,8,8,4,1,0,4,15,51,0,6,41,40,0,4
September,1924,"Rural, population under 5,000",1593230,2674,1308,75,11,17,10,3,0,9,46,75,10,6,113,95,0,13
September,1924,"Urban, population over 5,000",1337314,2664,1409,69,12,16,8,1,2,8,71,96,9,7,123,126,0,10
October,1924,Indiana (statewide),2930544,5237,2731,174,19,22,19,3,1,7,165,106,28,9,215,259,0,21
October,1924,Northern counties,1055563,2032,920,54,3,5,9,2,1,1,67,23,10,1,78,92,0,4
October,1924,Central counties,1217831,2054,1239,77,12,4,6,1,0,5,66,45,12,3,98,126,0,11
October,1924,Southern counties,657150,1151,572,43,4,13,4,0,0,1,32,38,6,5,39,41,0,6
October,1924,"Rural, population under 5,000",1593230,2571,1304,97,8,12,12,1,0,3,73,53,18,4,95,119,0,12
October,1924,"Urban, population over 5,000",1337314,2666,1427,77,11,10,7,2,1,4,92,53,10,5,120,140,0,9
November,1924,Indiana (statewide),2930544,4930,2832,136,26,25,29,4,1,4,237,69,65,9,217,246,0,16
November,1924,Northern counties,1055563,1944,969,45,9,4,13,1,1,1,94,21,18,4,89,106,0,3
November,1924,Central counties,1217831,1911,1225,51,13,10,11,2,0,2,97,23,32,3,88,97,0,10
November,1924,Southern counties,657150,1075,638,40,4,11,5,1,0,1,46,25,15,2,40,43,0,3
November,1924,"Rural, population under 5,000",1593230,2443,1377,67,8,13,19,3,0,1,100,28,36,0,105,115,0,4
November,1924,"Urban, population over 5,000",1337314,2487,1455,69,18,12,10,1,1,3,137,41,29,9,112,131,0,12
December,1924,Indiana (statewide),2930544,5113,3073,166,27,13,20,14,0,4,307,29,83,13,246,248,0,23
December,1924,Northern counties,1055563,2048,1129,60,11,4,7,11,0,2,134,10,18,3,96,110,0,9
December,1924,Central counties,1217831,1950,1322,65,12,3,9,3,0,0,116,13,43,6,118,92,0,11
December,1924,Southern counties,657150,1115,622,41,4,6,4,0,0,2,57,6,22,4,32,46,0,3
December,1924,"Rural, population under 5,000",1593230,2503,1414,95,13,6,11,9,0,3,141,12,47,6,112,108,0,12
December,1924,"Urban, population over 5,000",1337314,2610,1659,71,14,7,9,5,0,1,166,17,36,7,134,140,0,11
