Month,Year,Region,Population,Births,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox,Syphilis
May,1925,Northern counties,1055563,1928,1135,61,10,4,4,7,5,10,87,16,36,10,94,88,0,7
May,1925,Central counties,1217831,1935,1266,82,22,4,3,1,1,4,68,11,46,8,112,91,2,10
May,1925,Southern counties,657150,1060,553,44,5,2,0,1,3,6,23,9,21,9,43,40,0,3
May,1925,"Rural, population under 5,000",1593230,2498,1475,100,15,7,4,6,6,8,71,15,68,12,126,99,2,13
May,1925,"Urban, population over 5,000",1337314,2425,1479,87,22,3,3,3,3,12,107,21,35,15,123,120,0,7
June,1925,Indiana (statewide),2930544,4927,2748,179,39,12,6,5,8,14,121,40,27,40,243,228,1,14
June,1925,Northern counties,1055563,1869,1010,64,10,4,3,1,3,5,64,10,10,10,81,112,1,7
June,1925,Central counties,1217831,1988,1225,83,20,3,2,4,4,3,39,19,13,26,113,82,0,6
June,1925,Southern counties,657150,1070,513,32,9,5,1,0,1,6,18,11,4,4,49,34,0,1
June,1925,"Rural, population under 5,000",1593230,2448,1349,91,17,6,0,4,4,10,42,13,11,23,117,110,1,5
June,1925,"Urban, population over 5,000",1337314,2479,1399,88,22,6,6,1,4,4,79,27,16,17,126,118,0,9
July,1925,Indiana (statewide),2930544,5260,2869,162,28,16,3,6,3,15,73,152,21,33,228,303,0,22
July,1925,Northern counties,1055563,2091,972,38,7,5,1,4,2,3,29,33,7,11,73,131,0,12
July,1925,Central counties,1217831,2052,1277,79,16,7,0,1,0,7,33,78,11,16,113,106,0,6
July,1925,Southern counties,657150,1117,620,45,5,4,2,1,1,5,11,41,3,6,42,66,0,4
July,1925,"Rural, population under 5,000",1593230,2584,1387,85,14,10,2,3,1,2,30,59,12,12,111,146,0,12
July,1925,"Urban, population over 5,000",1337314,2676,1482,77,14,6,1,3,2,13,43,93,9,21,117,157,0,10
August,1925,Indiana (statewide),2930544,5147,3007,133,25,42,6,2,1,14,97,205,33,23,254,279,0,20
August,1925,Northern counties,1055563,2009,1074,34,7,13,4,1,0,3,44,90,8,13,97,107,0,4
August,1925,Central counties,1217831,2058,1354,64,14,18,1,0,1,10,35,69,18,7,117,114,0,10
August,1925,Southern counties,657150,1080,579,35,4,11,1,1,0,1,18,46,7,3,40,58,0,6
August,1925,"Rural, population under 5,000",1593230,2480,1471,59,13,29,1,1,0,3,32,88,20,10,110,124,0,13
August,1925,"Urban, population over 5,000",1337314,2667,1536,74,12,13,5,1,1,11,65,117,13,13,144,155,0,7
September,1925,Indiana (statewide),2930544,4870,2621,159,21,45,8,3,1,14,78,169,28,27,225,228,0,8
September,1925,Northern counties,1055563,1930,915,43,8,12,2,1,1,3,38,55,10,12,81,95,0,4
September,1925,Central counties,1217831,1855,1122,68,9,21,1,0,0,7,27,67,13,8,98,75,0,4
September,1925,Southern counties,657150,1085,584,48,4,12,5,2,0,4,13,47,5,7,46,58,0,0
September,1925,"Rural, population under 5,000",1593230,2379,1275,82,9,28,1,2,0,4,29,85,19,9,99,114,0,5
September,1925,"Urban, population over 5,000",1337314,2491,1346,77,12,17,7,1,1,10,49,84,9,18,126,114,0,3
October,1925,Indiana (statewide),2930544,5036,3071,149,31,39,22,2,0,11,186,140,45,19,260,254,0,16
October,1925,Northern counties,1055563,1989,1079,54,7,11,6,0,0,4,69,41,14,9,83,116,0,3
October,1925,Central counties,1217831,1968,1382,63,11,13,11,0,0,5,84,66,23,7,125,102,0,10
October,1925,Southern counties,657150,1079,610,32,13,15,5,2,0,2,33,33,8,3,52,36,0,3
October,1925,"Rural, population under 5,000",1593230,2421,1455,76,13,23,9,2,0,4,72,70,29,4,112,88,0,7
October,1925,"Urban, population over 5,000",1337314,2615,1616,73,18,16,13,0,0,7,114,70,16,15,148,166,0,9
November,1925,Indiana (statewide),2930544,4650,2959,135,36,29,26,9,0,6,254,39,58,26,220,252,0,24
November,1925,Northern counties,1055563,1811,999,41,11,9,6,4,0,4,95,15,16,8,79,85,0,8
November,1925,Central counties,1217831,1848,1333,53,14,13,13,2,0,2,108,13,25,14,90,127,0,11
November,1925,Southern counties,657150,991,627,41,11,7,7,3,0,0,51,11,17,4,51,40,0,5
November,1925,"Rural, population under 5,000",1593230,2227,1441,65,18,18,10,9,0,2,119,15,40,8,97,105,0,10
November,1925,"Urban, population over 5,000",1337314,2423,1518,70,18,11,16,0,0,4,135,24,18,18,123,147,0,14
December,1925,Indiana (statewide),2930544,4751,3251,166,27,18,31,10,3,10,367,27,96,24,278,251,0,27
December,1925,Northern counties,1055563,1821,1085,45,11,5,12,4,0,4,115,9,20,6,97,92,0,10
December,1925,Central counties,1217831,1882,1532,82,10,8,14,3,3,6,175,14,56,13,132,118,0,13
December,1925,Southern counties,657150,1048,634,39,6,5,5,3,0,0,77,4,20,5,49,41,0,4
December,1925,"Rural, population under 5,000",1593230,2253,1600,91,12,9,8,5,3,4,176,11,54,5,130,109,0,16
December,1925,"Urban, population over 5,000",1337314,2498,1651,75,15,9,23,5,0,6,191,16,42,19,148,142,0,11
