Month,Year,Region,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria
August,1902,Southern counties,754,101,11,51,4
August,1902,Urban,1226,107,15,57,9
August,1902,Rural,1932,168,23,110,11
August,1902,"Cities, class 1",295,26,7,21,1
August,1902,"Cities, class 2",176,16,4,5,2
August,1902,"Cities, class 3",330,27,2,22,4
August,1902,"Cities, class 4",233,23,2,4,2
August,1902,"Cities, class 5",192,15,0,5,0
September,1902,Indiana (statewide),2812,282,51,232,34
September,1902,Northern counties,876,72,15,52,10
September,1902,Central counties,1173,124,20,103,17
September,1902,Southern counties,763,86,16,77,7
September,1902,Urban,1114,123,21,71,17
September,1902,Rural,1698,159,30,161,17
September,1902,"Cities, class 1",270,36,5,14,1
September,1902,"Cities, class 2",146,9,2,4,8
September,1902,"Cities, class 3",317,36,7,26,4
September,1902,"Cities, class 4",222,25,5,13,3
September,1902,"Cities, class 5",159,17,2,14,1
October,1902,Indiana (statewide),2554,241,42,205,47
October,1902,Northern counties,755,56,14,51,13
October,1902,Central counties,1077,107,15,82,23
October,1902,Southern counties,722,78,13,72,11
October,1902,Urban,1098,100,15,64,21
October,1902,Rural,1456,141,27,141,26
October,1902,"Cities, class 1",264,28,2,17,2
October,1902,"Cities, class 2",173,16,1,7,11
October,1902,"Cities, class 3",276,23,5,15,4
October,1902,"Cities, class 4",238,24,4,16,2
October,1902,"Cities, class 5",147,9,3,9,2
November,1902,Indiana (statewide),2406,279,30,146,59
November,1902,Northern counties,685,68,14,30,12
November,1902,Central counties,1091,115,14,60,35
November,1902,Southern counties,630,96,2,56,12
November,1902,Urban,1090,108,15,58,29
November,1902,Rural,1316,171,15,88,30
November,1902,"Cities, class 1",282,28,5,12,5
November,1902,"Cities, class 2",153,13,1,8,8
November,1902,"Cities, class 3",259,24,5,18,7
November,1902,"Cities, class 4",202,21,2,9,5
November,1902,"Cities, class 5",194,22,2,11,4
December,1902,Indiana (statewide),2634,284,35,91,48
December,1902,Northern counties,835,84,7,22,19
December,1902,Central counties,1104,121,11,36,22
December,1902,Southern counties,695,79,17,33,7
December,1902,Urban,1061,102,16,27,31
December,1902,Rural,1573,182,19,64,17
December,1902,"Cities, class 1",301,27,4,8,5
December,1902,"Cities, class 2",166,15,4,3,12
December,1902,"Cities, class 3",255,24,2,2,5
December,1902,"Cities, class 4",192,21,4,11,6
December,1902,"Cities, class 5",147,15,2,3,3
