Month,Year,Region,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria
August,1908,Central counties,1255,114,31,38,6
August,1908,Southern counties,705,54,12,33,2
August,1908,Urban,1343,103,22,37,5
August,1908,Rural,1558,134,31,44,7
August,1908,"Cities, class 1",507,39,12,15,1
August,1908,"Cities, class 2",66,4,2,0,0
August,1908,"Cities, class 3",358,26,6,11,1
August,1908,"Cities, class 4",223,17,2,7,1
August,1908,"Cities, class 5",189,17,0,4,2
September,1908,Indiana (statewide),2755,263,55,118,29
September,1908,Northern counties,950,67,16,30,6
September,1908,Central counties,1136,134,26,52,17
September,1908,Southern counties,669,62,13,36,6
September,1908,Urban,1192,115,26,28,18
September,1908,Rural,1563,148,29,90,11
September,1908,"Cities, class 1",422,50,6,8,14
September,1908,"Cities, class 2",63,4,3,0,0
September,1908,"Cities, class 3",356,32,9,11,1
September,1908,"Cities, class 4",195,17,4,5,1
September,1908,"Cities, class 5",156,12,4,4,2
October,1908,Indiana (statewide),2674,252,52,129,41
October,1908,Northern counties,913,63,15,31,7
October,1908,Central counties,1172,125,30,60,21
October,1908,Southern counties,589,64,7,38,13
October,1908,Urban,1258,127,21,56,22
October,1908,Rural,1416,125,31,73,19
October,1908,"Cities, class 1",474,55,10,19,8
October,1908,"Cities, class 2",58,5,0,4,0
October,1908,"Cities, class 3",358,35,4,17,7
October,1908,"Cities, class 4",196,18,4,9,6
October,1908,"Cities, class 5",172,14,3,7,1
November,1908,Indiana (statewide),2668,278,40,113,44
November,1908,Northern counties,853,66,14,32,8
November,1908,Central counties,1087,131,16,42,20
November,1908,Southern counties,728,81,10,39,16
November,1908,Urban,1197,143,21,43,20
November,1908,Rural,1471,135,19,70,24
November,1908,"Cities, class 1",451,48,8,13,10
November,1908,"Cities, class 2",57,6,0,4,1
November,1908,"Cities, class 3",345,52,8,8,6
November,1908,"Cities, class 4",197,20,1,11,0
November,1908,"Cities, class 5",147,17,4,7,3
December,1908,Indiana (statewide),2702,256,35,76,37
December,1908,Northern counties,817,68,11,21,7
December,1908,Central counties,1289,105,18,26,15
December,1908,Southern counties,596,83,6,29,15
December,1908,Urban,1193,115,19,33,23
December,1908,Rural,1509,141,16,43,14
December,1908,"Cities, class 1",477,45,12,17,9
December,1908,"Cities, class 2",47,5,0,0,1
December,1908,"Cities, class 3",320,28,3,11,4
December,1908,"Cities, class 4",178,18,2,5,3
December,1908,"Cities, class 5",171,19,2,0,6
